uuid,waktu_transaksi,armada_id_var,no_body_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
bus-1-1763313426-173953,2025-11-06 05:08:35,ARM-21,KRW_22A,62824954038530,Kartu Reguler,52294,5000,47294,TRX868393,1,-6.102192,106.848838,S,0,2025-11-17 00:17:06
bus-2-1763313426-458525,2025-11-11 16:52:22,ARM-44,LGS_388,62821638642793,Kartu Lansia,57631,10000,47631,TRX318538,1,-6.012126,106.940894,S,0,2025-11-17 00:17:06
bus-3-1763313426-640608,2025-11-09 07:38:48,ARM-29,SMB_348,62829738445121,Kartu Lansia,12043,10000,2043,TRX544567,0,-6.004822,106.811571,P,0,2025-11-17 00:17:06
bus-4-1763313426-913414,2025-11-08 03:22:33,ARM-8,BRT_268,62828917507994,Kartu Pelajar,43529,5000,38529,TRX816771,0,-5.828316,106.731129,P,0,2025-11-17 00:17:06
bus-5-1763313426-586452,2025-11-11 19:09:48,ARM-46,LGS292,62824856722536,Kartu Disabilitas,35302,3500,31802,TRX303151,1,-6.098939,106.994855,P,0,2025-11-17 00:17:06
bus-6-1763313426-396115,2025-11-11 08:01:04,ARM-3,LGS_388,62825578448499,Kartu Reguler,44295,5000,39295,TRX505458,0,-5.834871,106.926989,S,0,2025-11-17 00:17:06
bus-7-1763313426-933269,2025-11-09 14:14:22,ARM-2,KRW_352,62821807911440,Kartu Disabilitas,50233,7000,43233,TRX884740,1,-5.865051,106.960237,P,0,2025-11-17 00:17:06
bus-8-1763313426-358651,2025-11-10 12:41:49,ARM-18,SMB_374,62827764494338,Kartu Lansia,39090,5000,34090,TRX438516,0,-5.819472,106.702486,F,0,2025-11-17 00:17:06
bus-9-1763313426-259517,2025-11-03 03:36:30,ARM-7,LGS339A,62824804250856,Kartu Disabilitas,43289,7000,36289,TRX763595,1,-6.067045,106.732567,P,0,2025-11-17 00:17:06
bus-10-1763313426-101081,2025-11-09 08:22:28,ARM-26,LGS292,62825382982102,Kartu Pelajar,34394,3500,30894,TRX175226,0,-6.045438,107.003912,S,1,2025-11-17 00:17:06
bus-11-1763313426-906118,2025-11-08 18:54:16,ARM-46,SMB81,62825604585229,Kartu Pelajar,45229,7000,38229,TRX913975,0,-5.882566,106.736307,S,0,2025-11-17 00:17:06
bus-12-1763313426-723011,2025-11-11 13:01:35,ARM-28,KRW 359,62822638056500,Kartu Disabilitas,12711,7000,5711,TRX718134,0,-5.813118,106.88044,S,0,2025-11-17 00:17:06
bus-13-1763313426-127376,2025-11-07 18:51:08,ARM-33,TJK_42,62825675570014,Kartu Pelajar,15575,7000,8575,TRX659704,1,-6.08013,106.77579,P,0,2025-11-17 00:17:06
bus-14-1763313426-619516,2025-11-03 06:13:50,ARM-15,SMB_441,62824056355053,Kartu Disabilitas,18152,7000,11152,TRX410315,0,-6.195812,107.036101,P,0,2025-11-17 00:17:06
bus-15-1763313426-321986,2025-11-09 16:04:02,ARM-43,TJK 261,62822174269568,Kartu Disabilitas,49713,7000,42713,TRX575747,1,-6.187075,107.098092,S,0,2025-11-17 00:17:06
bus-16-1763313426-748370,2025-11-05 01:02:41,ARM-24,SMB 5,62827793428375,Kartu Disabilitas,17936,10000,7936,TRX574411,0,-5.961184,106.973821,F,0,2025-11-17 00:17:06
bus-17-1763313426-178588,2025-11-13 05:24:41,ARM-35,TJK_42,62822681872849,Kartu Lansia,20026,5000,15026,TRX595392,0,-6.001463,107.090131,S,0,2025-11-17 00:17:06
bus-18-1763313426-100067,2025-11-07 00:33:54,ARM-24,TJK 119,62827656590048,Kartu Pelajar,10081,5000,5081,TRX899512,1,-5.86409,106.91601,F,0,2025-11-17 00:17:06
bus-19-1763313426-396590,2025-11-13 19:33:00,ARM-49,SMB_374,62825558029544,Kartu Reguler,40096,3500,36596,TRX343836,1,-6.052872,106.757338,S,0,2025-11-17 00:17:06
bus-20-1763313426-945954,2025-11-09 06:49:25,ARM-24,LGS_130,62822674901738,Kartu Lansia,44925,5000,39925,TRX118496,0,-5.946903,106.83326,S,0,2025-11-17 00:17:06
bus-21-1763313426-727875,2025-11-05 12:45:18,ARM-6,SMB_374,62827708754591,Kartu Reguler,39165,3500,35665,TRX765124,1,-6.068862,106.735529,P,0,2025-11-17 00:17:06
bus-22-1763313426-459195,2025-11-07 12:07:06,ARM-20,LGS 355A,62828724496501,Kartu Lansia,56597,7000,49597,TRX654555,0,-5.862261,106.820999,P,0,2025-11-17 00:17:06
