uuid,waktu_transaksi,shelter_name_var,terminal_name_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
halte-1-1763313426-733815,2025-11-04 19:31:30,Terminal Cawang 2,Terminal B,62826319525870,Kartu Lansia,13479,7000,6479,TRX555275,0,-6.146395,107.056193,F,0,2025-11-17 00:17:06
halte-2-1763313426-480857,2025-11-07 10:09:43,Terminal Senayan 3,Terminal D,62829597012317,Kartu Pelajar,42504,10000,32504,TRX478946,1,-5.995333,106.934449,P,0,2025-11-17 00:17:06
halte-3-1763313426-562767,2025-11-11 15:35:29,Shelter Ragunan 1,Terminal B,62827711100388,Kartu Reguler,16172,7000,9172,TRX490427,1,-5.994183,106.991323,F,0,2025-11-17 00:17:06
halte-4-1763313426-230558,2025-11-06 12:15:11,Shelter Ragunan 1,Terminal A,62823993671745,Kartu Reguler,26913,5000,21913,TRX888183,0,-5.923321,106.803321,S,1,2025-11-17 00:17:06
halte-5-1763313426-714416,2025-11-13 14:38:00,Halte Senen 5,Terminal A,62822275921267,Kartu Pelajar,35558,3500,32058,TRX513353,0,-6.182431,107.05443,F,0,2025-11-17 00:17:06
halte-6-1763313426-626169,2025-11-06 04:05:41,Shelter Tosari 1,Terminal D,62829544849734,Kartu Pelajar,41597,3500,38097,TRX472844,0,-5.96983,106.744844,S,0,2025-11-17 00:17:06
halte-7-1763313426-745851,2025-11-14 16:12:17,Terminal Tanjung Priok 3,Terminal D,62824000790877,Kartu Lansia,46345,3500,42845,TRX547066,0,-6.01922,106.853687,S,0,2025-11-17 00:17:06
halte-8-1763313426-450985,2025-11-04 10:26:13,Shelter Kampung Melayu 3,Terminal C,62829924674660,Kartu Disabilitas,58194,5000,53194,TRX799434,1,-6.105308,107.068305,F,0,2025-11-17 00:17:06
halte-9-1763313426-708799,2025-11-03 01:32:17,Terminal Ancol 1,Terminal C,62826337869286,Kartu Disabilitas,52820,7000,45820,TRX670791,0,-5.89565,107.067814,F,0,2025-11-17 00:17:06
halte-10-1763313426-670382,2025-11-07 23:27:35,Terminal Ancol 1,Terminal C,62821875024449,Kartu Lansia,34419,5000,29419,TRX481813,0,-6.198595,106.98429,F,0,2025-11-17 00:17:06
halte-11-1763313426-484862,2025-11-07 05:39:07,Shelter Matraman 2,Terminal D,62821519619865,Kartu Pelajar,22253,5000,17253,TRX501303,1,-6.058116,106.805742,P,0,2025-11-17 00:17:06
halte-12-1763313426-470384,2025-11-13 08:41:16,Shelter Matraman 2,Terminal C,62829531904727,Kartu Disabilitas,55462,10000,45462,TRX122939,0,-5.820707,106.838697,S,0,2025-11-17 00:17:06
halte-13-1763313426-285477,2025-11-03 09:35:49,Shelter Dukuh Atas 1,Terminal C,62824659136133,Kartu Reguler,18941,7000,11941,TRX478984,0,-5.893693,106.879283,F,0,2025-11-17 00:17:06
halte-14-1763313426-706668,2025-11-02 12:01:37,Terminal Harmoni 4,Terminal C,62828764165518,Kartu Pelajar,51646,5000,46646,TRX365489,0,-5.950649,107.053711,S,0,2025-11-17 00:17:06
halte-15-1763313426-333222,2025-11-07 12:14:37,Shelter Ragunan 1,Terminal A,62821409962108,Kartu Pelajar,51510,5000,46510,TRX658036,1,-5.95868,107.097704,F,0,2025-11-17 00:17:06
halte-16-1763313426-588012,2025-11-08 15:05:05,Shelter Pulogadung 4,Terminal B,62822659116629,Kartu Pelajar,29924,5000,24924,TRX288556,0,-6.007454,106.883563,P,0,2025-11-17 00:17:06
halte-17-1763313426-726204,2025-11-10 12:21:50,Terminal Cawang 2,Terminal A,62825319480617,Kartu Reguler,32744,7000,25744,TRX957404,1,-6.126114,106.7248,F,1,2025-11-17 00:17:06
halte-18-1763313426-609927,2025-11-14 11:14:15,Terminal Cawang 2,Terminal B,62822719394619,Kartu Disabilitas,11596,3500,8096,TRX737197,1,-5.995525,106.806984,S,0,2025-11-17 00:17:06
halte-19-1763313426-374459,2025-11-08 23:07:43,Halte Cawang 2,Terminal A,62823322144750,Kartu Reguler,17324,3500,13824,TRX918274,0,-5.974889,106.738498,F,0,2025-11-17 00:17:06
halte-20-1763313426-906884,2025-11-09 20:27:01,Terminal Senayan 3,Terminal A,62824948748704,Kartu Reguler,30935,5000,25935,TRX267257,1,-5.98979,106.902627,P,0,2025-11-17 00:17:06
halte-21-1763313426-172071,2025-11-02 14:43:23,Terminal Cawang 2,Terminal B,62823876074547,Kartu Disabilitas,13759,10000,3759,TRX731591,0,-6.110707,107.059815,S,0,2025-11-17 00:17:06
halte-22-1763313426-766472,2025-11-11 06:49:17,Halte Matraman 1,Terminal B,62829015133960,Kartu Disabilitas,25695,10000,15695,TRX885095,0,-5.969543,106.795052,S,0,2025-11-17 00:17:06
halte-23-1763313426-841226,2025-11-04 21:04:28,Halte Pulogadung 4,Terminal C,62823297150252,Kartu Disabilitas,18713,10000,8713,TRX871492,0,-5.835544,106.738731,S,0,2025-11-17 00:17:06
halte-24-1763313426-169134,2025-11-03 14:18:51,Shelter Tosari 1,Terminal B,62826246108359,Kartu Lansia,16265,3500,12765,TRX521068,1,-6.137696,106.911709,S,0,2025-11-17 00:17:06
halte-25-1763313426-931038,2025-11-14 01:25:10,Halte Pesing 3,Terminal D,62825601821707,Kartu Pelajar,44294,7000,37294,TRX930948,0,-6.112849,107.039186,S,0,2025-11-17 00:17:06
halte-26-1763313426-303768,2025-11-07 11:04:07,Halte Cawang 2,Terminal C,62828199656845,Kartu Reguler,50922,7000,43922,TRX811257,0,-5.948228,106.987862,F,0,2025-11-17 00:17:06
halte-27-1763313426-312614,2025-11-10 00:53:27,Shelter Tosari 1,Terminal C,62824295240266,Kartu Lansia,27213,5000,22213,TRX102362,0,-5.864788,107.07042,S,1,2025-11-17 00:17:06
halte-28-1763313426-878876,2025-11-11 01:53:32,Shelter Pulogadung 4,Terminal B,62825800993957,Kartu Disabilitas,41390,7000,34390,TRX938815,1,-5.846728,106.9583,S,0,2025-11-17 00:17:06
halte-29-1763313426-321597,2025-11-12 22:51:06,Terminal Ancol 1,Terminal A,62824859685721,Kartu Disabilitas,54902,7000,47902,TRX945031,0,-6.108429,106.951251,F,1,2025-11-17 00:17:06
halte-30-1763313426-745727,2025-11-06 11:52:15,Halte Cawang 2,Terminal D,62828232639994,Kartu Pelajar,31690,7000,24690,TRX370886,1,-5.896353,106.937097,P,1,2025-11-17 00:17:06
halte-31-1763313426-846091,2025-11-13 17:06:52,Halte Monas 3,Terminal B,62829687854103,Kartu Reguler,38892,10000,28892,TRX567425,0,-5.884853,106.7121,F,0,2025-11-17 00:17:06
halte-32-1763313426-737020,2025-11-03 19:04:43,Halte Lebak Bulus 3,Terminal D,62828654185665,Kartu Disabilitas,56814,7000,49814,TRX620272,1,-6.165795,106.854161,S,0,2025-11-17 00:17:06
halte-33-1763313426-376724,2025-11-04 18:25:31,Halte Cawang 2,Terminal C,62823203863219,Kartu Lansia,29492,7000,22492,TRX515031,0,-6.147489,106.862741,F,0,2025-11-17 00:17:06
halte-34-1763313426-867714,2025-11-14 22:43:22,Halte Lebak Bulus 3,Terminal A,62825282869913,Kartu Reguler,31955,7000,24955,TRX675589,1,-6.183937,106.727927,F,0,2025-11-17 00:17:06
halte-35-1763313426-910652,2025-11-14 13:09:14,Terminal Senen 3,Terminal D,62827837885511,Kartu Disabilitas,46515,10000,36515,TRX971134,0,-6.022172,106.984074,F,0,2025-11-17 00:17:06
halte-36-1763313426-289956,2025-11-05 15:27:11,Terminal Kalideres 5,Terminal A,62827637569864,Kartu Pelajar,33039,5000,28039,TRX938161,1,-5.856132,106.930196,P,0,2025-11-17 00:17:06
halte-37-1763313426-462878,2025-11-03 23:04:55,Halte Pesing 3,Terminal D,62825144924745,Kartu Lansia,44108,3500,40608,TRX688644,1,-6.180027,106.994068,P,0,2025-11-17 00:17:06
halte-38-1763313426-825152,2025-11-05 07:00:49,Shelter Pulogadung 3,Terminal A,62823267386579,Kartu Disabilitas,48162,5000,43162,TRX384400,0,-5.827208,106.786593,S,1,2025-11-17 00:17:06
halte-39-1763313426-888485,2025-11-01 17:55:10,Shelter Tosari 1,Terminal A,62823017564173,Kartu Disabilitas,49630,5000,44630,TRX986854,1,-6.113283,106.772786,F,0,2025-11-17 00:17:06
halte-40-1763313426-187065,2025-11-02 18:51:44,Terminal Harmoni 4,Terminal C,62826941938313,Kartu Disabilitas,56593,10000,46593,TRX352794,0,-5.912976,106.867591,F,0,2025-11-17 00:17:06
halte-41-1763313426-326314,2025-11-10 01:10:47,Shelter Lebak Bulus 4,Terminal A,62826062256357,Kartu Lansia,57572,10000,47572,TRX368999,1,-5.853013,106.943653,S,0,2025-11-17 00:17:06
halte-42-1763313426-365663,2025-11-03 18:44:43,Shelter Monas 3,Terminal B,62826429048320,Kartu Reguler,55169,3500,51669,TRX421368,0,-6.097639,106.959846,F,0,2025-11-17 00:17:06
halte-43-1763313426-390173,2025-11-14 03:51:04,Terminal Cawang 2,Terminal D,62823758928414,Kartu Reguler,27504,7000,20504,TRX100291,0,-6.169869,107.07008,S,0,2025-11-17 00:17:06
halte-44-1763313426-251618,2025-11-12 00:33:02,Shelter Tosari 1,Terminal B,62828507415219,Kartu Reguler,42132,7000,35132,TRX391074,0,-6.142986,106.731524,P,0,2025-11-17 00:17:06
halte-45-1763313426-289079,2025-11-06 02:28:38,Halte Lebak Bulus 3,Terminal B,62824511305483,Kartu Lansia,22142,7000,15142,TRX866688,1,-6.113654,106.98059,F,0,2025-11-17 00:17:06
halte-46-1763313426-953095,2025-11-14 15:38:47,Shelter Dukuh Atas 1,Terminal A,62828460872844,Kartu Lansia,51655,3500,48155,TRX766391,0,-5.869996,107.059951,P,0,2025-11-17 00:17:06
halte-47-1763313426-421604,2025-11-03 22:30:51,Shelter Dukuh Atas 1,Terminal B,62827214442618,Kartu Pelajar,49964,10000,39964,TRX438470,1,-6.017719,106.956826,F,0,2025-11-17 00:17:06
halte-48-1763313426-923877,2025-11-06 19:33:09,Shelter Matraman 2,Terminal B,62827219677688,Kartu Lansia,29930,5000,24930,TRX750395,1,-6.06185,106.796255,P,0,2025-11-17 00:17:06
halte-49-1763313426-174851,2025-11-04 20:15:09,Shelter Lebak Bulus 4,Terminal A,62827287618607,Kartu Disabilitas,17546,10000,7546,TRX192324,1,-5.864374,106.82805,F,0,2025-11-17 00:17:06
halte-50-1763313426-501234,2025-11-05 02:19:46,Shelter Monas 3,Terminal B,62821732845417,Kartu Reguler,45209,5000,40209,TRX763786,1,-5.823565,106.843493,P,0,2025-11-17 00:17:06
halte-51-1763313426-503235,2025-11-01 23:45:46,Halte Pulogadung 4,Terminal A,62828671144967,Kartu Reguler,21718,3500,18218,TRX834124,1,-6.052447,106.914825,P,0,2025-11-17 00:17:06
halte-52-1763313426-545765,2025-11-14 05:26:48,Halte Ragunan 1,Terminal D,62823368691371,Kartu Pelajar,39428,5000,34428,TRX462515,1,-6.040602,106.90469,P,0,2025-11-17 00:17:06
halte-53-1763313426-345443,2025-11-09 05:41:14,Halte Ragunan 1,Terminal B,62826858374276,Kartu Reguler,23920,5000,18920,TRX931898,1,-5.89965,106.72748,P,0,2025-11-17 00:17:06
halte-54-1763313426-510168,2025-11-07 08:42:10,Shelter Kampung Melayu 3,Terminal B,62825723086432,Kartu Lansia,52326,5000,47326,TRX430504,0,-6.011724,106.936164,S,0,2025-11-17 00:17:06
halte-55-1763313426-369077,2025-11-14 11:07:20,Halte Matraman 2,Terminal C,62822960577068,Kartu Pelajar,20693,3500,17193,TRX713204,0,-6.181258,106.831045,S,0,2025-11-17 00:17:06
halte-56-1763313426-557793,2025-11-14 22:29:18,Halte Senen 5,Terminal C,62822254131534,Kartu Lansia,24619,10000,14619,TRX456658,1,-5.98964,107.040319,S,0,2025-11-17 00:17:06
halte-57-1763313426-354366,2025-11-01 05:54:31,Halte Pulogadung 4,Terminal D,62823642146332,Kartu Lansia,54717,7000,47717,TRX292224,0,-5.805185,107.085565,F,0,2025-11-17 00:17:06
halte-58-1763313426-690467,2025-11-03 06:57:03,Terminal Grogol 3,Terminal C,62826744244972,Kartu Disabilitas,34537,5000,29537,TRX880513,1,-5.956253,106.904969,P,0,2025-11-17 00:17:06
halte-59-1763313426-207606,2025-11-12 20:34:17,Terminal Ragunan 4,Terminal C,62822120228665,Kartu Disabilitas,49702,7000,42702,TRX804233,1,-6.082193,106.899527,F,0,2025-11-17 00:17:06
halte-60-1763313426-332776,2025-11-05 18:27:51,Halte Pesing 3,Terminal C,62827199101117,Kartu Reguler,45792,7000,38792,TRX739879,0,-5.954138,106.719343,P,1,2025-11-17 00:17:06
